,e.ap.1,e.ap.2,e.b.1,e.b.2,e.p.ap.1,e.p.ap.2,e.p.b.1,e.p.b.1.rep,e.p.b.2,e.p.b.2.rep,e.p.pr.l.1,e.p.pr.l.2,e.pr.l.1,e.pr.l.2,pname,gene
Q5SSL4,1,621922.9468,3333253.786,4499552.067,1,987731.7663,4579594.831,1959181.937,4393037.486,2914082.417,2309929.686,1875195.302,1661758.556,575629.4744,Active breakpoint cluster region-related protein,Abr
Q4KML4,47022000,97455000,99174000,103110000,102350000,76476000,85838000,102800000,135100000,69559000,166100000,214440000,141130000,164310000,Costars family protein ABRACL,Abracl
Q921H8;Q8VCH0,176140000,404280000,233540000,228580000,474980000,463740000,244250000,268740000,235470000,156550000,81031000,107250000,221940000,231890000,"3-ketoacyl-CoA thiolase A, peroxisomal;3-ketoacyl-CoA thiolase B, peroxisomal",Acaa1a;Acaa1b
Q8BWT1,899850000,1016900000,484090000,576970000,880610000,907480000,638810000,712910000,662170000,638810000,418060000,320160000,417910000,403120000,"3-ketoacyl-CoA thiolase, mitochondrial",Acaa2
Q5SWU9,27361000,58126000,20735000,17489000,160660000,139600000,54166000,42370000,44927000,28516000,34961000,43891000,25851000,26926000,Acetyl-CoA carboxylase 1;Biotin carboxylase,Acaca
Q8K370,2794148.179,483596.8749,838810.8203,1418739.296,1057947.099,1,2200311.968,2756279.913,2713390.236,1,2028107.129,1123998.973,496581.5508,1,Acyl-CoA dehydrogenase family member 10,Acad10
Q80XL6,1,1,5154538.675,3645752.202,1208996.685,1517783.349,9428161.029,5221898.601,4019558.176,6686585.598,1,628592.7814,1,487933.607,Acyl-CoA dehydrogenase family member 11,Acad11
Q9D7B6,81988000,51274000,40291000,39689000,44417000,48864000,54532000,42713000,48058000,52192000,47616000,46650000,44675000,41135000,"Isobutyryl-CoA dehydrogenase, mitochondrial",Acad8
Q8JZN5,410840000,446830000,182410000,207250000,717700000,712920000,433750000,445980000,461550000,351710000,126830000,112500000,92402000,95745000,"Acyl-CoA dehydrogenase family member 9, mitochondrial",Acad9
P51174,433610000,474560000,619960000,586930000,318390000,365860000,618950000,582140000,629320000,622530000,303560000,230260000,333640000,353650000,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",Acadl
P45952,262290000,335320000,107040000,106590000,234740000,214750000,107880000,110210000,109820000,112170000,98859000,87788000,111760000,92731000,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",Acadm
Q07417,218120000,165280000,127560000,153900000,174810000,215050000,150360000,141500000,160600000,136070000,268230000,224120000,194660000,195330000,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",Acads
Q9DBL1,20679756.67,10436922.59,45545770.14,29990115.86,5888308.854,14863085.79,32579784.58,42967189.66,30149378.71,22248487.68,43558861.24,34865134.24,28243044.68,10049472.37,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",Acadsb
P50544,336100000,288680000,235800000,239310000,216280000,266330000,217500000,208450000,201650000,232430000,366380000,370580000,337160000,300490000,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",Acadvl
Q6ZQK5,1000338.003,1071999.838,2098064.291,1175137.316,1656595.458,756299.6346,824296.1681,1072380.054,797710.1645,1048883.666,1449036.283,2542775.612,4737605.432,4120794.166,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",Acap2
Q8QZT1,505610000,624390000,368790000,380950000,605610000,593600000,540600000,591400000,498530000,411040000,280100000,221950000,300110000,323600000,"Acetyl-CoA acetyltransferase, mitochondrial",Acat1
Q8CAY6,40322000,37695000,41373000,40543000,86003000,81511000,65798000,78700000,69823000,49347000,81797000,66585000,44137000,50071000,"Acetyl-CoA acetyltransferase, cytosolic",Acat2
Q8BMP6,25330000,50848000,34629000,53362000,42940000,49465000,67042000,61953000,76214000,47591000,51095000,72612000,69883000,75426000,Golgi resident protein GCP60,Acbd3
Q5XG73,1,2481812.521,1,6425288.288,1882119.839,3665576.39,3304459.389,6179706.339,8497181.569,4293823.715,800566.0181,1,9109042.163,10257772.84,Acyl-CoA-binding domain-containing protein 5,Acbd5
Q9JIX8,255170000,195960000,159460000,191390000,192330000,207990000,212370000,182030000,224280000,214380000,192540000,170170000,144470000,141720000,Apoptotic chromatin condensation inducer in the nucleus,Acin1
Q91V92,155110000,281680000,136620000,129420000,513390000,454060000,174690000,177070000,203380000,118270000,546560000,617680000,468080000,467800000,ATP-citrate synthase,Acly
P28271;Q811J3,194240000,467420000,246310000,243620000,515840000,472950000,285860000,321310000,241070000,194510000,234600000,269070000,203510000,236270000,Cytoplasmic aconitate hydratase,Aco1
Q99KI0,834690000,921410000,938970000,849140000,842260000,863530000,909950000,893270000,786600000,901740000,1217100000,1156400000,1012100000,896720000,"Aconitate hydratase, mitochondrial",Aco2
O55137;Q9QYR7;Q6Q2Z6;Q8BWN8,478030000,653800000,218420000,219530000,931520000,756790000,419500000,414620000,405730000,324610000,2.82E+09,2327300000,550290000,612670000,Acyl-coenzyme A thioesterase 1,Acot1
Q9CQR4,79088281.81,42775745.41,20465298.23,8291986.452,40676138.47,44174736.71,3893775.784,11313724.09,44765464.37,19360968.15,81165223.95,69288975.58,40596770.45,51737826.93,Acyl-coenzyme A thioesterase 13,Acot13
Q9QYR9,5298524.125,12091282.81,6927237.043,7596554.655,26773426.59,21134382.27,12551138.78,10125930.31,6914056.486,11601038.1,91119897.54,60807565.67,10565079.04,8423634.742,"Acyl-coenzyme A thioesterase 2, mitochondrial",Acot2
Q91V12,6103500,9321100,29210000,16753000,8986000,12203000,47125000,42596000,29844000,27129000,24470000,42094000,121240000,116590000,Cytosolic acyl coenzyme A thioester hydrolase,Acot7
P58137,8391860.369,3359891.835,1,1,204921.9381,10104429.73,6163100.989,1,1,1,3530560.332,2057153.743,13173336.03,13837623.89,Acyl-coenzyme A thioesterase 8,Acot8
Q9R0X4;Q32MW3,41367000,50775000,52511000,44354000,74072000,56914000,46193000,57860000,42936000,37460000,1.05E+08,97378000,68270000,60898000,"Acyl-coenzyme A thioesterase 9, mitochondrial;Acyl-coenzyme A thioesterase 10, mitochondrial",Acot9;Acot10
Q9R0H0,4069287.242,6442151.649,8926818.091,9756252.003,19309447.05,11300059.55,7206475.559,7279151.824,10977321.12,2716994.718,1,1,5050705.486,6733985.157,Peroxisomal acyl-coenzyme A oxidase 1,Acox1
Q9EPL9,1,1,715335.5441,1,1,1,1,1,1,1,6114943.595,5527642.843,782923.8866,2305526.176,Peroxisomal acyl-coenzyme A oxidase 3,Acox3
Q9D358,1.95E+08,219110000,130060000,146490000,159240000,154640000,134400000,187270000,115100000,125100000,140660000,124750000,154920000,166890000,Low molecular weight phosphotyrosine protein phosphatase,Acp1
P24638,27494229.76,18450280.95,8071476.935,3910875.684,14494460.26,6482979.731,9117858.973,5359796.738,12022417.01,15875305.92,17995049.85,16294390.86,14811563.68,15419248.94,Lysosomal acid phosphatase,Acp2
Q05117,10763473.08,41427052.6,21881404.28,31779516.77,16526204.68,11793781.43,45749596.13,36155489.14,17437709.96,20213910.72,7394362.328,1,1,1,Tartrate-resistant acid phosphatase type 5,Acp5
Q8BP40,93660000,70219000,75750000,51954000,79602000,97413000,74023000,84842000,73213000,67328000,50987000,60293000,81326000,80155000,Lysophosphatidic acid phosphatase type 6,Acp6
Q99PU5,1,1,1,1,1,2191302.281,1785524.385,8514158.189,1,1,3571171.601,1,4062308.138,1036579.738,Long-chain-fatty-acid--CoA ligase ACSBG1,Acsbg1
Q8VCW8,88111000,103540000,101560000,134110000,143770000,119340000,132600000,143630000,120240000,122040000,173950000,205680000,195040000,205430000,"Acyl-CoA synthetase family member 2, mitochondrial",Acsf2
Q3URE1,6346506.238,4234840.985,1159525.54,2874727.346,9635973.578,8876605.125,3285661.007,3089666.189,2813950.988,450231.3709,4007578.989,1938144.436,2305730.952,4371347.275,"Acyl-CoA synthetase family member 3, mitochondrial",Acsf3
P41216,728220455.4,86731426.92,6318759.093,8773785.692,130057143.4,120838430.4,13593418.92,10735954.27,15308478.52,11804240.99,11715204.86,9158325.26,4737605.432,6829247.299,Long-chain-fatty-acid--CoA ligase 1,Acsl1
Q9CZW4,10176000,44745000,12870000,8241900,94745000,70084000,25046000,26247000,24490000,22160000,147790000,159550000,75573000,61905000,Long-chain-fatty-acid--CoA ligase 3,Acsl3
Q9QUJ7,1542030.825,3610168.937,16638427.21,13261043.24,3496865.412,969350.9121,9030948.646,5936164.205,5833959.526,8691223.578,6342071.943,9366990.907,25974844.03,23056173.36,Long-chain-fatty-acid--CoA ligase 4,Acsl4
Q8JZR0,3266352.159,8935940.453,1459124.229,1242233.764,16274205.38,11124171.13,3835191.786,4303637.245,3811615.953,1,17626600.84,20862571.09,23656007.26,22986891.8,Long-chain-fatty-acid--CoA ligase 5,Acsl5
Q99NB1,46537750.21,73492190.14,1,394398.5688,95362238.51,86198697.47,1,1,1,1,1,1,1,1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",Acss1
P62737;P63268,1008082.525,6844854.175,2162809926,2282277397,1,1703443.348,668501359.7,520039584.1,760465441.7,1297632040,1039108.098,2211156.977,1,3525747.623,"Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle",Acta2;Actg2
P60710,5120300000,9047500000,1.33E+10,1.51E+10,1.11E+10,9576200000,1.34E+10,1.29E+10,1.22E+10,7593500000,9984900000,9.56E+09,1.06E+10,1.33E+10,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",Actb
Q8BFZ3,1853694.868,17595609.83,29720757.74,26591471.4,10503721.2,22243199.32,20650537.48,11380102.18,17455659.22,33524655.94,8768759.028,11918402.68,19681071.26,20400684.15,Beta-actin-like protein 2,Actbl2
P68033;P68134,1.27E+10,1.26E+10,5.57E+10,5.04E+10,1.11E+10,1.28E+10,2.48E+10,2.03E+10,2.40E+10,2.57E+10,1.18E+10,1.02E+10,1.23E+10,1.28E+10,"Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle",Actc1;Acta1
Q9Z2N8;Q99MR0,68516000,162330000,125300000,131690000,265040000,224710000,193080000,256820000,153880000,131660000,202900000,214450000,133540000,167250000,Actin-like protein 6A,Actl6a
Q7TPR4;O88990,361620000,529510000,3085900000,3130500000,5.00E+08,471550000,1963300000,2066200000,2092600000,1679900000,387360000,393270000,528330000,539150000,Alpha-actinin-1,Actn1
P57780,4223300000,5418800000,6194100000,6380700000,3.70E+09,3809400000,4195500000,4494800000,4303800000,4361500000,2680300000,2500900000,3309800000,3301100000,Alpha-actinin-4,Actn4
Q9QZB7,225584.5057,1,9031306.41,4949458.582,7583229.207,6669668.318,5018910.439,14817739.12,1863761.826,3820150.756,3751465.985,5732314.889,8192131.112,7172920.293,Actin-related protein 10,Actr10
P61164,64468000,126740000,151510000,136230000,230560000,139470000,179400000,241630000,138380000,164470000,162940000,160750000,151030000,184380000,Alpha-centractin,Actr1a
Q8R5C5,16857000,48913000,45664000,43412000,58748000,42153000,48716000,82837000,50753000,37622000,42798000,45694000,46680000,49357000,Beta-centractin,Actr1b
P61161,213070000,193630000,220650000,231260000,163190000,184070000,231680000,211440000,219100000,204220000,244070000,195620000,205920000,192690000,Actin-related protein 2,Actr2
Q99JY9;Q641P0,422910000,547270000,649390000,669690000,483670000,499780000,600120000,681710000,539040000,452220000,548370000,557110000,464530000,586030000,Actin-related protein 3,Actr3
Q80US4,1,603237.223,1,1,833397.7148,1150269.124,709317.0244,1826752.98,2145161.412,922821.4305,760970.0307,1,685920.9525,2309765.113,Actin-related protein 5,Actr5
Q99JW2,36140000,72759000,38406000,27966000,80329000,79698000,45542000,39544000,24867000,26813000,45273000,40847000,33727000,34515000,Aminoacylase-1,Acy1
P56376,26026000,54395000,47710000,49991000,33299000,32717000,54501000,43236000,54970000,39986000,48835000,36319000,29086000,39967000,Acylphosphatase-1,Acyp1
P03958,45120667.47,77396730.67,12920739.4,9339090.307,80759778.55,87393915.86,354194.9904,5898300.649,6489556.393,11364074.22,162933066.7,211765679.6,65529105.97,69778380.1,Adenosine deaminase,Ada
O35598,6278947.643,1261361.208,2924144.351,3704303.348,4695887.124,4167835.545,5044275.379,9436439.626,7055855.671,5608782.146,36235732.39,27562835,23106952.78,19852812.88,Disintegrin and metalloproteinase domain-containing protein 10,Adam10
Q61072,1,1,1,1,1,1,1,1,1,1,1,1,2781809.835,1,Disintegrin and metalloproteinase domain-containing protein 9,Adam9
Q99MU3,1,1,1,1,1,1,1,113810.3708,92568.84167,257347.8691,421014.4069,152420.7703,751698.2747,247877.5652,Double-stranded RNA-specific adenosine deaminase,Adar
Q566J8,1,1368698.647,358000.7808,1,7899728.339,1554812.49,2999114.44,3209707.686,3351441.698,300358.0872,7320836.28,9379470.909,4198876.752,4866117.878,Uncharacterized aarF domain-containing protein kinase 4,Adck4
Q9QYC0;Q9QYB8,81567000,107280000,22544000,34914000,74289000,67015000,30726000,36606000,31783000,29544000,34650000,33751000,34033000,29653000,Alpha-adducin,Add1
Q9QYB5,25865290.81,43397695.58,8796344.172,5225781.036,28691171.33,38800368.32,9790609.282,6213362.833,8934694.878,3251947.045,5151080.974,1581465.956,5738264.666,1,Gamma-adducin,Add3
P00329,1,1,1,1,1,1,1,1,1,1,8173509.176,28014611.1,8040719.163,6789136.923,Alcohol dehydrogenase 1,Adh1
P28474,159550000,268190000,227210000,244180000,259490000,267180000,258140000,249430000,193340000,162160000,547420000,510880000,251670000,218750000,Alcohol dehydrogenase class-3,Adh5
Q64437,1461407.762,1317227.847,1313583.029,1048576.763,726650.5075,1421199.006,2357008.068,1,1,2142229.91,21117859.94,17522423.14,1,927734.7629,Alcohol dehydrogenase class 4 mu/sigma chain,Adh7
Q99JT9,19321758.28,52820853.01,30518886.9,39308390.69,52754105.35,51144443.93,31694586.81,37416205.33,38661368.42,44975362.12,39820331.91,28434438.39,25538479.76,17315375.8,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",Adi1
P55264,323690000,219480000,403370000,391450000,174670000,211440000,289160000,263400000,257440000,342240000,128010000,119500000,103820000,86942000,Adenosine kinase,Adk
Q9Z103,51941000,32764000,40879000,33559000,55661000,54965000,60696000,64775000,67330000,91126000,40446000,41365000,34249000,38976000,Activity-dependent neuroprotector homeobox protein,Adnp
Q6PDY2,27510707.47,9581570.997,24498525.48,18285973.15,10961219.94,10899939.11,27888558.26,22241333.4,30574776.27,31607286.92,2397866.185,6346331.027,3584342.81,1164066.921,2-aminoethanethiol dioxygenase,Ado
Q8VDL4,8845938.872,2898260.553,713850.6527,873312.8555,15789706.7,6083785.019,7467206.54,11915801.38,5424716.307,5151798.579,28495027.98,22358673.83,13568496.4,17655402.4,ADP-dependent glucokinase,Adpgk
P54923,8430600,9083500,7779100,7663100,12516000,10701000,6042900,8066200,7241300,11082000,18010000,20336000,12347000,14558000,[Protein ADP-ribosylarginine] hydrolase,Adprh
Q8CG72,56877000,54685000,36636000,44356000,38649000,45892000,47793000,48805000,88044000,39616000,44019000,33042000,26724000,19550000,Poly(ADP-ribose) glycohydrolase ARH3,Adprhl2
Q3UYH7;Q99MK8,1,3729387.393,1,1,1818145.015,737743.9206,448792.053,1,1,1,1,1,1405102.891,1778621.692,Beta-adrenergic receptor kinase 2;Beta-adrenergic receptor kinase 1,Adrbk2;Adrbk1
Q9JKV1,18356400.1,39804810.6,27041402.11,34798370.02,51555608.63,61941524.31,41277255.08,49638654.77,1,18272335.7,35543048.24,36158062.53,48416577.1,46067678.34,Proteasomal ubiquitin receptor ADRM1,Adrm1
P54822,53055000,140540000,88993000,105320000,214620000,161310000,154930000,129270000,144580000,103730000,145350000,180520000,127860000,135240000,Adenylosuccinate lyase,Adsl
P46664,62530000,137340000,93209000,96961000,199080000,182510000,129460000,131320000,137800000,97259000,182940000,186350000,179170000,170900000,Adenylosuccinate synthetase isozyme 2,Adss
P28650,8082314.888,17460876.64,1,1,4959211.402,4273780.032,1845267.187,4209258.825,3521735.34,1094875.043,15279662.5,8848821.19,2560351.243,2321160.106,Adenylosuccinate synthetase isozyme 1,Adssl1
Q80YS6,5316649.601,2872810.951,14757200.75,7322545.032,5463135.02,2391053.926,11936972.47,12295371.85,29652632.83,12199180.79,3779631.865,7630273.716,1,1,Actin filament-associated protein 1,Afap1
Q8BZI0,1,1,1,1,1,1,1,1,1,1,6421820.685,11507560.99,6709286.873,3690428.064,Actin filament-associated protein 1-like 1,Afap1l1
Q5DTU0,1,1,1405842.83,2352636.154,1,1,996636.1277,7265595.735,7841135.97,3489484.225,1,1,1,1,Actin filament-associated protein 1-like 2,Afap1l2
Q920A7,1,1,1,1,2360018.529,1557281.099,1708206.383,645036.0648,1,1,2315169.85,1338754.861,580081.5177,1,AFG3-like protein 1,Afg3l1
Q8JZQ2,28505000,27594000,23810000,29341000,37954000,34781000,34959000,51103000,30317000,31361000,40382000,37068000,23289000,27197000,AFG3-like protein 2,Afg3l2
Q80WT5,1844302.575,4313367.297,1,1,4661312.219,5982674.892,2314132.307,1,1,1,1569985.813,1913833.39,4805368.485,5150992.707,Aftiphilin,Aftph
Q64191,12676063.98,19062704.53,1503780.156,10293559.19,7862978.44,1,13514233.96,11089347.46,22354462.09,2647243.253,28421338.18,27806444.65,29664331.27,24279995.62,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase;Glycosylasparaginase alpha chain;Glycosylasparaginase beta chain,Aga
Q8K2K6,41721000,26202000,26576000,31683000,56692000,57515000,29529000,25885000,29212000,39657000,19225000,19690000,26909000,17523000,Arf-GAP domain and FG repeat-containing protein 1,Agfg1
Q9ESW4,43222000,42039000,53230000,61744000,39644000,44603000,68567000,70993000,70741000,56866000,37785000,25280000,19126000,15565000,"Acylglycerol kinase, mitochondrial",Agk
Q8CJG1;Q8CJF9;Q8CJF8,8915380.634,14608343.71,15426493.74,10630015.25,5571209.724,4973939.374,12873672.66,18144122.66,8557311.603,12376903.7,1445712.054,1201624.59,888664.0349,1049023.07,Protein argonaute-1,Ago1
Q8CJG0,34032000,41875000,63102000,67904000,38491000,34588000,54884000,86941000,84277000,55682000,43960000,47286000,33030000,38508000,Protein argonaute-2,Ago2
Q9D517,11984471.11,19272289.49,3752844.807,1928779.42,17131453.03,10020085.57,4574058.321,1858446.179,3558845.443,3668035.234,13414655.46,11034818.48,6400009.35,2483151.329,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,Agpat3
Q8C0I1,29181000,10753000,30721000,27923000,56698000,43535000,47443000,58718000,44509000,33679000,38255000,126070000,1401100000,1443100000,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",Agps
Q8CJF7,50414000,62172000,36335000,50022000,61007000,63987000,61787000,63277000,62128000,44162000,52940000,61596000,44721000,43618000,Protein ELYS,Ahctf1
P50247,955770000,774680000,1212800000,1010300000,465020000,481120000,953800000,907210000,918370000,1171800000,509490000,482900000,396970000,365420000,Adenosylhomocysteinase,Ahcy
Q80SW1,64139000,32627000,39925000,27765000,21940000,26083000,26998000,26557000,21872000,37917000,44356000,28353000,29975000,30642000,Putative adenosylhomocysteinase 2,Ahcyl1
Q68FL4,12075098.49,4606241.861,1275041.361,1,1,1,2023594.303,1,1,1,7021983.191,3797714.774,1,1,Putative adenosylhomocysteinase 3,Ahcyl2
Q6PAL7,10245000,8419800,14032000,12339000,10897000,9698700,26713000,30276000,27725000,46827000,5690100,9016900,7861000,7832400,AT-hook DNA-binding motif-containing protein 1,Ahdc1
Q8R4S6;P30561;Q8R4S5,1,1,1123822.635,1,1,1,6825357.681,4686666.85,5695301.461,1438026.768,1,1,1,1,Aryl hydrocarbon receptor,Ahr
Q8BK64,66914000,107970000,118970000,155220000,170820000,1.45E+08,176290000,253340000,208890000,139600000,125150000,131120000,107270000,109630000,Activator of 90 kDa heat shock protein ATPase homolog 1,Ahsa1
P29699,787869751.9,470817636.3,743592155.2,1216610029,115604683,200656801.1,76513276.77,68173099.28,193528964.3,215739050.2,89942498.25,187474602.2,314321278.3,297322719.5,Alpha-2-HS-glycoprotein,Ahsg
